Year,Selected Stations,Maximum,Minimum
1998,"Bandaraya Melaka, Melaka",92,4
1998,"Cheras, Kuala Lumpur",140,10
1998,"Kota Kinabalu, Sabah ",459,1
1998,"Kuching, Sarawak ",90,3
1998,"Larkin, Johor Bahru",116,7
1998,"Miri, Sarawak",649,6
1998,"Seberang Jaya, Pulau Pinang",111,16
1999,"Bandaraya Melaka, Melaka",77,3
1999,"Cheras, Kuala Lumpur",137,3
1999,"Kota Kinabalu, Sabah ",70,1
1999,"Kuching, Sarawak ",76,4
1999,"Larkin, Johor Bahru",114,6
1999,"Miri, Sarawak",120,4
1999,"Seberang Jaya, Pulau Pinang",79,10
2000,"Bandaraya Melaka, Melaka",122,4
2000,"Cheras, Kuala Lumpur",141,13
2000,"Kota Kinabalu, Sabah ",70,1
2000,"Kuching, Sarawak ",84,1
2000,"Larkin, Johor Bahru",119,7
2000,"Miri, Sarawak",79,3
2000,"Seberang Jaya, Pulau Pinang",127,4
2001,"Bandaraya Melaka, Melaka",127,3
2001,"Cheras, Kuala Lumpur",157,16
2001,"Kota Kinabalu, Sabah ",80,1
2001,"Kuching, Sarawak ",84,1
2001,"Larkin, Johor Bahru",119,10
2001,"Miri, Sarawak",84,2
2001,"Seberang Jaya, Pulau Pinang",140,8
2002,"Bandaraya Melaka, Melaka",105,5
2002,"Cheras, Kuala Lumpur",153,11
2002,"Kota Kinabalu, Sabah ",88,8
2002,"Kuching, Sarawak ",130,1
2002,"Larkin, Johor Bahru",116,4
2002,"Miri, Sarawak",126,5
2002,"Seberang Jaya, Pulau Pinang",115,4
2003,"Bandaraya Melaka, Melaka",114,6
2003,"Cheras, Kuala Lumpur",143,11
2003,"Kota Kinabalu, Sabah ",76,2
2003,"Kuching, Sarawak ",85,6
2003,"Larkin, Johor Bahru",112,2
2003,"Miri, Sarawak",86,3
2003,"Seberang Jaya, Pulau Pinang",106,11
2004,"Bandaraya Melaka, Melaka",147,5
2004,"Cheras, Kuala Lumpur",97,32
2004,"Kota Kinabalu, Sabah ",62,1
2004,"Kuching, Sarawak ",97,17
2004,"Larkin, Johor Bahru",126,8
2004,"Miri, Sarawak",77,2
2004,"Seberang Jaya, Pulau Pinang",121,8
2005,"Bandaraya Melaka, Melaka",114,2
2005,"Cheras, Kuala Lumpur",390,5
2005,"Kota Kinabalu, Sabah ",63,2
2005,"Kuching, Sarawak ",78,23
2005,"Larkin, Johor Bahru",111,1
2005,"Miri, Sarawak",133,2
2005,"Seberang Jaya, Pulau Pinang",151,10
2006,"Bandaraya Melaka, Melaka",153,5
2006,"Cheras, Kuala Lumpur",162,5
2006,"Kota Kinabalu, Sabah ",86,2
2006,"Kuching, Sarawak ",188,5
2006,"Larkin, Johor Bahru",143,5
2006,"Miri, Sarawak",104,1
2006,"Seberang Jaya, Pulau Pinang",121,6
2007,"Bandaraya Melaka, Melaka",92,4
2007,"Cheras, Kuala Lumpur",131,4
2007,"Kota Kinabalu, Sabah ",64,3
2007,"Kuching, Sarawak ",75,6
2007,"Larkin, Johor Bahru",141,0
2007,"Miri, Sarawak",73,6
2007,"Seberang Jaya, Pulau Pinang",101,8
2008,"Bandaraya Melaka, Melaka",80,3
2008,"Cheras, Kuala Lumpur",135,8
2008,"Kota Kinabalu, Sabah ",55,1
2008,"Kuching, Sarawak ",72,5
2008,"Larkin, Johor Bahru",101,5
2008,"Miri, Sarawak",76,6
2008,"Seberang Jaya, Pulau Pinang",99,6
2009,"Bandaraya Melaka, Melaka",137,4
2009,"Cheras, Kuala Lumpur",168,4
2009,"Kota Kinabalu, Sabah ",78,1
2009,"Kuching, Sarawak ",114,10
2009,"Larkin, Johor Bahru",99,2
2009,"Miri, Sarawak",179,6
2009,"Seberang Jaya, Pulau Pinang",106,5
2010,"Bandaraya Melaka, Melaka",139,22
2010,"Cheras, Kuala Lumpur",169,26
2010,"Kota Kinabalu, Sabah ",68,10
2010,"Kuching, Sarawak ",54,16
2010,"Larkin, Johor Bahru",111,15
2010,"Miri, Sarawak",89,17
2010,"Seberang Jaya, Pulau Pinang",93,28
2011,"Bandaraya Melaka, Melaka",97,12
2011,"Cheras, Kuala Lumpur",150,11
2011,"Kota Kinabalu, Sabah ",61,2
2011,"Kuching, Sarawak ",100,4
2011,"Larkin, Johor Bahru",84,3
2011,"Miri, Sarawak",96,4
2011,"Seberang Jaya, Pulau Pinang",98,6
2012,"Bandaraya Melaka, Melaka",83,3
2012,"Cheras, Kuala Lumpur",155,4
2012,"Kota Kinabalu, Sabah ",61,1
2012,"Kuching, Sarawak ",93,16
2012,"Larkin, Johor Bahru",137,2
2012,"Miri, Sarawak",97,5
2012,"Seberang Jaya, Pulau Pinang",105,6
2013,"Bandaraya Melaka, Melaka",415,16
2013,"Cheras, Kuala Lumpur",186,22
2013,"Kota Kinabalu, Sabah ",90,8
2013,"Kuching, Sarawak ",89,17
2013,"Larkin, Johor Bahru",226,17
2013,"Miri, Sarawak",93,18
2013,"Seberang Jaya, Pulau Pinang",132,27
2014,"Bandaraya Melaka, Melaka",128,5
2014,"Cheras, Kuala Lumpur",170,3
2014,"Kota Kinabalu, Sabah ",59,3
2014,"Kuching, Sarawak ",123,11
2014,"Larkin, Johor Bahru",198,10
2014,"Miri, Sarawak",84,2
2014,"Seberang Jaya, Pulau Pinang",119,14
2015,"Bandaraya Melaka, Melaka",176,6
2015,"Cheras, Kuala Lumpur",185,9
2015,"Kota Kinabalu, Sabah ",75,5
2015,"Kuching, Sarawak ",209,5
2015,"Larkin, Johor Bahru",192,28
2015,"Miri, Sarawak",99,4
2015,"Seberang Jaya, Pulau Pinang",287,9
2016,"Bandaraya Melaka, Melaka",87,5
2016,"Cheras, Kuala Lumpur",151,7
2016,"Kota Kinabalu, Sabah ",73,3
2016,"Kuching, Sarawak ",71,6
2016,"Larkin, Johor Bahru",109,5
2016,"Miri, Sarawak",149,2
2016,"Seberang Jaya, Pulau Pinang",87,7
2017,"Bandaraya Melaka, Melaka",0,122
2017,"Cheras, Kuala Lumpur",181,0
2017,"Kota Kinabalu, Sabah ",136,0
2017,"Kuching, Sarawak ",60,8
2017,"Larkin, Johor Bahru",106,12
2017,"Miri, Sarawak",82,0
2017,"Seberang Jaya, Pulau Pinang",230,15
2018,"Bandaraya Melaka, Melaka",140,21
2018,"Cheras, Kuala Lumpur",142,14
2018,"Kota Kinabalu, Sabah ",90,9
2018,"Kuching, Sarawak ",109,9
2018,"Larkin, Johor Bahru",87,20
2018,"Miri, Sarawak",83,7
2018,"Seberang Jaya, Pulau Pinang",124,28
2019,"Bandaraya Melaka, Melaka",224,19
2019,"Cheras, Kuala Lumpur",189,31
2019,"Kota Kinabalu, Sabah ",252,10
2019,"Kuching, Sarawak ",273,17
2019,"Larkin, Johor Bahru",171,26
2019,"Miri, Sarawak",188,19
2019,"Seberang Jaya, Pulau Pinang",191,28
2020,"Bandaraya Melaka, Melaka",101,17
2020,"Cheras, Kuala Lumpur",132,24
2020,"Kota Kinabalu, Sabah ",77,9
2020,"Kuching, Sarawak ",80,15
2020,"Larkin, Johor Bahru",93,21
2020,"Miri, Sarawak",97,17
2020,"Seberang Jaya, Pulau Pinang",98,22
