Year,state,area,Total Rainfall in millimetres
2003,Johor,356922.0,2203.1
2003,Kedah,344530.0,2704.25
2003,Kelantan,629687.0,2534.85
2003,Melaka,5468.0,1824.2
2003,Pahang,1524132.0,3387.7
2003,Perak,884205.0,2764.3500000000004
2003,Perlis,10718.0,1837.3
2003,Pulau Pinang,5139.0,2762.45
2003,Sabah,3563186.0,2404.225
2003,Sarawak,4836800.0,3950.75
2003,Selangor,233781.0,2750.1
2003,Terengganu,535929.0,3341.7
2004,Johor,355772.0,2496.2
2004,Kedah,342613.0,2120.35
2004,Kelantan,629367.0,2340.35
2004,Melaka,5185.0,1615.5
2004,Pahang,1524132.0,2863.3
2004,Perak,884205.0,2209.9
2004,Perlis,10718.0,1721.8
2004,Pulau Pinang,5434.0,2102.5
2004,Sabah,3543186.0,2323.75
2004,Sarawak,4806300.0,3754.7
2004,Selangor,233781.0,2240.85
2004,Terengganu,530162.0,2194.4
2005,Johor,375864.0,2233.8
2005,Kedah,342613.0,2697.6
2005,Kelantan,629687.0,2665.0
2005,Melaka,5185.0,1875.5
2005,Pahang,1519501.0,2798.2
2005,Perak,884205.0,2025.0
2005,Perlis,10718.0,2155.3
2005,Pulau Pinang,5434.0,2027.3
2005,Sabah,3523186.0,2580.3
2005,Sarawak,4779900.0,3325.2
2005,Selangor,239782.0,1871.65
2005,Terengganu,538063.0,2825.0
2006,Johor,391499.0,2968.7
2006,Kedah,342613.0,2494.5
2006,Kelantan,629687.0,2393.2
2006,Melaka,5159.0,2178.1
2006,Pahang,1519501.0,2877.45
2006,Perak,884205.0,2639.25
2006,Perlis,10718.0,2164.8
2006,Pulau Pinang,5434.0,2209.6
2006,Sabah,3503186.0,3622.025
2006,Sarawak,4778300.0,3409.45
2006,Selangor,235212.0,2718.9
2006,Terengganu,545818.0,2047.0
2007,Johor,391499.0,3050.5
2007,Kedah,342613.0,2395.3
2007,Kelantan,629687.0,2555.7
2007,Melaka,5079.0,2078.6
2007,Pahang,1484099.0,3222.95
2007,Perak,884205.0,2160.85
2007,Perlis,10718.0,2128.6
2007,Pulau Pinang,6098.0,2165.8
2007,Sabah,3604867.0,2952.6
2007,Sarawak,4692900.0,4017.7
2007,Selangor,241568.0,2504.8
2007,Terengganu,545818.0,2129.0
2008,Johor,441251.0,2964.2
2008,Kedah,342613.0,2308.65
2008,Kelantan,623849.0,3349.25
2008,Melaka,5080.0,2194.4
2008,Pahang,1562496.0,3644.55
2008,Perak,873936.0,2879.55
2008,Perlis,10586.0,1772.4
2008,Pulau Pinang,6098.0,2351.7
2008,Sabah,3604867.0,3065.525
2008,Sarawak,4681543.0,3643.95
2008,Selangor,241568.0,2685.6
2008,Terengganu,544118.0,3609.6
2009,Johor,438751.0,1913.9
2009,Kedah,342613.0,2644.8
2009,Kelantan,623849.0,3170.55
2009,Melaka,5080.0,1878.0
2009,Pahang,1562902.0,3379.1
2009,Perak,991436.0,2591.15
2009,Perlis,10808.0,2107.1
2009,Pulau Pinang,6098.0,2806.9
2009,Sabah,3604894.0,2889.95
2009,Sarawak,4583609.0,3990.9
2009,Selangor,247793.0,2478.3
2009,Terengganu,544118.0,3593.6
2010,Johor,432678.0,2214.45
2010,Kedah,342613.0,2398.2
2010,Kelantan,623849.0,2605.5
2010,Melaka,5079.0,1992.8
2010,Pahang,1562902.0,2385.0
2010,Perak,987511.0,2353.35
2010,Perlis,10808.0,2201.9
2010,Pulau Pinang,6098.0,2053.9
2010,Sabah,3606647.0,2269.55
2010,Sarawak,,3825.55
2010,Selangor,250129.0,2684.9
2010,Terengganu,544118.0,2363.2
2011,Johor,432208.0,2865.1
2011,Kedah,342613.0,2272.6
2011,Kelantan,623849.0,3363.0
2011,Melaka,4818.0,1845.2
2011,Pahang,1562902.0,3276.35
2011,Perak,986262.0,2526.7
2011,Perlis,10799.0,2162.0
2011,Pulau Pinang,6098.0,2411.7
2011,Sabah,3606647.0,3661.425
2011,Sarawak,,3931.2
2011,Selangor,250129.0,2150.4
2011,Terengganu,539234.0,3645.4
2012,Johor,432208.0,2350.0
2012,Kedah,325463.0,2580.2
2012,Kelantan,623849.0,2796.9
2012,Melaka,5151.0,1883.2
2012,Pahang,1562902.0,3072.6000000000004
2012,Perak,983136.0,2306.2
2012,Perlis,10799.0,2065.6
2012,Pulau Pinang,6098.0,2272.7
2012,Sabah,3609249.0,2855.875
2012,Sarawak,4337164.0,3266.3
2012,Selangor,250129.0,2685.95
2012,Terengganu,539232.0,3094.4
2013,Johor,432209.0,2438.65
2013,Kedah,341976.0,2222.85
2013,Kelantan,623849.0,2684.4
2013,Melaka,5151.0,1389.8
2013,Pahang,1562902.0,3131.5
2013,Perak,1003616.0,2319.7
2013,Perlis,10799.0,1714.2
2013,Pulau Pinang,6060.0,2531.6
2013,Sabah,3614730.0,2557.85
2013,Sarawak,4368066.0,3625.3999999999996
2013,Selangor,250129.0,2247.75
2013,Terengganu,544855.0,2908.0
2014,Johor,432184.0,2431.3
2014,Kedah,341976.0,2138.0
2014,Kelantan,623849.0,3058.3500000000004
2014,Melaka,5093.0,1840.0
2014,Pahang,1562900.0,3335.3
2014,Perak,999967.0,2082.1
2014,Perlis,10799.0,1880.9
2014,Pulau Pinang,6060.0,2071.05
2014,Sabah,3615066.0,2609.825
2014,Sarawak,4352828.0,3032.55
2014,Selangor,250129.0,2390.0
2014,Terengganu,544937.0,2870.6
2015,Johor,414637.0,2078.95
2015,Kedah,341976.0,2309.1000000000004
2015,Kelantan,623849.0,2138.7
2015,Melaka,5104.0,2324.3
2015,Pahang,1563993.0,1921.94
2015,Perak,999488.0,2287.1666666666665
2015,Perlis,10799.0,2123.8
2015,Pulau Pinang,6060.0,2744.15
2015,Sabah,3551247.0,1889.925
2015,Sarawak,4320302.0,3427.5800000000004
2015,Selangor,250129.0,3044.8333333333335
2015,Terengganu,544937.0,1860.4
2016,Johor,414628.0,1749.5
2016,Kedah,341976.0,1868.3000000000002
2016,Kelantan,635437.0,2470.6000000000004
2016,Melaka,5137.0,2207.2
2016,Pahang,1559913.0,1938.52
2016,Perak,999473.0,1792.5666666666666
2016,Perlis,10799.0,1563.3
2016,Pulau Pinang,6060.0,2366.0
2016,Sabah,3540274.0,2234.4
2016,Sarawak,4317939.0,3767.6400000000003
2016,Selangor,250129.0,2595.9333333333334
2016,Terengganu,544883.0,2946.4
2017,Johor,332749.0,2378.125
2017,Kedah,341976.0,2824.0
2017,Kelantan,613275.0,3418.7
2017,Melaka,5138.0,2336.9
2017,Pahang,1558898.0,2793.7799999999997
2017,Perak,995216.0,2404.2333333333336
2017,Perlis,10615.0,2313.4
2017,Pulau Pinang,5101.0,2633.0
2017,Sabah,3540749.0,3244.275
2017,Sarawak,4274825.0,3837.0
2017,Selangor,250129.0,2479.6666666666665
2017,Terengganu,542411.0,3074.4
2018,Johor,332749.0,2266.5249999999996
2018,Kedah,341976.0,2202.2
2018,Kelantan,613275.0,2592.1
2018,Melaka,5199.0,2249.4
2018,Pahang,1559385.0,2406.56
2018,Perak,988914.0,2415.3333333333335
2018,Perlis,10615.0,1839.6
2018,Pulau Pinang,5101.0,2374.7
2018,Sabah,3540749.0,2512.2250000000004
2018,Sarawak,4209053.0,3918.5199999999995
2018,Selangor,250210.0,3317.1666666666665
2018,Terengganu,540309.0,2646.0
2019,Johor,334292.0,2174.525
2019,Kedah,341976.0,2296.95
2019,Kelantan,629775.0,1758.0666666666666
2019,Melaka,5199.0,1616.8
2019,Pahang,1550687.0,1737.6200000000001
2019,Perak,988591.0,2083.8333333333335
2019,Perlis,10628.0,1553.8
2019,Pulau Pinang,5101.0,1949.5500000000002
2019,Sabah,3541266.0,1749.7333333333333
2019,Sarawak,3964880.0,2314.8625
2019,Selangor,250208.0,2895.8333333333335
2019,Terengganu,540309.0,1603.5
2020,Johor,334292.0,2458.8
2020,Kedah,341976.0,2570.0
2020,Kelantan,629881.0,3189.7333333333336
2020,Melaka,5199.0,1712.2
2020,Pahang,1545610.0,2262.12
2020,Perak,987632.0,2479.1666666666665
2020,Perlis,10629.0,2195.0
2020,Pulau Pinang,5387.0,1996.0
2020,Sabah,3574468.0,2372.7166666666667
2020,Sarawak,3964880.0,3961.35
2020,Selangor,250208.0,3139.2000000000003
2020,Terengganu,540309.0,3238.8
2021,Johor,334502.0,2635.2
