,date,state,area,year
0,2003-01-01,Johor,356922.0,2003
1,2003-01-01,Kedah,344530.0,2003
2,2003-01-01,Kelantan,629687.0,2003
3,2003-01-01,Melaka,5468.0,2003
4,2003-01-01,Negeri Sembilan,165639.0,2003
5,2003-01-01,Pahang,1524132.0,2003
6,2003-01-01,Perak,884205.0,2003
7,2003-01-01,Perlis,10718.0,2003
8,2003-01-01,Pulau Pinang,5139.0,2003
9,2003-01-01,Sabah,3563186.0,2003
10,2003-01-01,Sarawak,4836800.0,2003
11,2003-01-01,Selangor,233781.0,2003
12,2003-01-01,Terengganu,535929.0,2003
13,2003-01-01,Kuala Lumpur,61.0,2003
14,2003-01-01,Labuan,0.0,2003
15,2003-01-01,Putrajaya,0.0,2003
16,2004-01-01,Johor,355772.0,2004
17,2004-01-01,Kedah,342613.0,2004
18,2004-01-01,Kelantan,629367.0,2004
19,2004-01-01,Melaka,5185.0,2004
20,2004-01-01,Negeri Sembilan,162075.0,2004
21,2004-01-01,Pahang,1524132.0,2004
22,2004-01-01,Perak,884205.0,2004
23,2004-01-01,Perlis,10718.0,2004
24,2004-01-01,Pulau Pinang,5434.0,2004
25,2004-01-01,Sabah,3543186.0,2004
26,2004-01-01,Sarawak,4806300.0,2004
27,2004-01-01,Selangor,233781.0,2004
28,2004-01-01,Terengganu,530162.0,2004
29,2004-01-01,Kuala Lumpur,61.0,2004
30,2004-01-01,Labuan,0.0,2004
31,2004-01-01,Putrajaya,0.0,2004
32,2005-01-01,Johor,375864.0,2005
33,2005-01-01,Kedah,342613.0,2005
34,2005-01-01,Kelantan,629687.0,2005
35,2005-01-01,Melaka,5185.0,2005
36,2005-01-01,Negeri Sembilan,160151.0,2005
37,2005-01-01,Pahang,1519501.0,2005
38,2005-01-01,Perak,884205.0,2005
39,2005-01-01,Perlis,10718.0,2005
40,2005-01-01,Pulau Pinang,5434.0,2005
41,2005-01-01,Sabah,3523186.0,2005
42,2005-01-01,Sarawak,4779900.0,2005
43,2005-01-01,Selangor,239782.0,2005
44,2005-01-01,Terengganu,538063.0,2005
45,2005-01-01,Kuala Lumpur,61.0,2005
46,2005-01-01,Labuan,0.0,2005
47,2005-01-01,Putrajaya,0.0,2005
48,2006-01-01,Johor,391499.0,2006
49,2006-01-01,Kedah,342613.0,2006
50,2006-01-01,Kelantan,629687.0,2006
51,2006-01-01,Melaka,5159.0,2006
52,2006-01-01,Negeri Sembilan,156275.0,2006
53,2006-01-01,Pahang,1519501.0,2006
54,2006-01-01,Perak,884205.0,2006
55,2006-01-01,Perlis,10718.0,2006
56,2006-01-01,Pulau Pinang,5434.0,2006
57,2006-01-01,Sabah,3503186.0,2006
58,2006-01-01,Sarawak,4778300.0,2006
59,2006-01-01,Selangor,235212.0,2006
60,2006-01-01,Terengganu,545818.0,2006
61,2006-01-01,Kuala Lumpur,61.0,2006
62,2006-01-01,Labuan,0.0,2006
63,2006-01-01,Putrajaya,0.0,2006
64,2007-01-01,Johor,391499.0,2007
