alert_date,alert__year,alert__week,confidence__cat,alert__count,month,year_month
2012-01-23,2012,4,h,1,1,2012-01
2012-01-30,2012,5,h,1,1,2012-01
2012-02-06,2012,6,h,2,2,2012-02
2012-02-13,2012,7,h,2,2,2012-02
2012-02-27,2012,9,h,1,2,2012-02
2012-03-12,2012,11,h,1,3,2012-03
2012-03-19,2012,12,h,5,3,2012-03
2012-03-26,2012,13,h,16,3,2012-03
2012-04-02,2012,14,h,2,4,2012-04
2012-04-09,2012,15,h,3,4,2012-04
2012-04-16,2012,16,h,2,4,2012-04
2012-04-30,2012,18,h,3,4,2012-04
2012-05-07,2012,19,h,6,5,2012-05
2012-05-14,2012,20,h,7,5,2012-05
2012-05-21,2012,21,h,14,5,2012-05
2012-05-28,2012,22,h,4,5,2012-05
2012-06-04,2012,23,h,6,6,2012-06
2012-06-11,2012,24,h,71,6,2012-06
2012-06-18,2012,25,h,103,6,2012-06
2012-06-25,2012,26,h,38,6,2012-06
2012-07-02,2012,27,h,5,7,2012-07
2012-07-09,2012,28,h,4,7,2012-07
2012-07-16,2012,29,h,2,7,2012-07
2012-07-23,2012,30,h,11,7,2012-07
2012-07-30,2012,31,h,94,7,2012-07
2012-08-06,2012,32,h,20,8,2012-08
2012-08-13,2012,33,h,11,8,2012-08
2012-08-20,2012,34,h,3,8,2012-08
2012-08-27,2012,35,h,16,8,2012-08
2012-09-03,2012,36,h,12,9,2012-09
2012-09-10,2012,37,h,24,9,2012-09
2012-09-17,2012,38,h,2,9,2012-09
2012-09-24,2012,39,h,16,9,2012-09
2012-10-01,2012,40,h,11,10,2012-10
2012-10-15,2012,42,h,1,10,2012-10
2012-10-22,2012,43,h,8,10,2012-10
2012-11-12,2012,46,h,1,11,2012-11
2012-11-26,2012,48,h,4,11,2012-11
2012-12-17,2012,51,h,1,12,2012-12
2013-01-14,2013,3,h,3,1,2013-01
2013-01-21,2013,4,h,4,1,2013-01
2013-01-28,2013,5,h,14,1,2013-01
2013-02-04,2013,6,h,3,2,2013-02
2013-03-04,2013,10,h,1,3,2013-03
2013-03-11,2013,11,h,13,3,2013-03
2013-03-18,2013,12,h,6,3,2013-03
2013-03-25,2013,13,h,3,3,2013-03
2013-04-01,2013,14,h,1,4,2013-04
2013-04-22,2013,17,h,8,4,2013-04
2013-04-29,2013,18,h,4,4,2013-04
2013-05-06,2013,19,h,2,5,2013-05
2013-05-13,2013,20,h,3,5,2013-05
2013-05-20,2013,21,h,1,5,2013-05
2013-05-27,2013,22,h,13,5,2013-05
2013-06-03,2013,23,h,2,6,2013-06
2013-06-10,2013,24,h,28,6,2013-06
2013-06-17,2013,25,h,83,6,2013-06
2013-06-24,2013,26,h,10,6,2013-06
2013-07-01,2013,27,h,1,7,2013-07
2013-07-08,2013,28,h,2,7,2013-07
2013-07-22,2013,30,h,66,7,2013-07
2013-07-29,2013,31,h,10,7,2013-07
2013-08-05,2013,32,h,3,8,2013-08
2013-08-12,2013,33,h,76,8,2013-08
2013-08-19,2013,34,h,33,8,2013-08
2013-08-26,2013,35,h,32,8,2013-08
2013-09-16,2013,38,h,9,9,2013-09
2013-09-23,2013,39,h,12,9,2013-09
2013-09-30,2013,40,h,16,9,2013-09
2013-10-07,2013,41,h,4,10,2013-10
2013-10-14,2013,42,h,4,10,2013-10
2013-10-28,2013,44,h,6,10,2013-10
2013-11-04,2013,45,h,1,11,2013-11
2014-01-20,2014,4,h,4,1,2014-01
2014-01-27,2014,5,h,21,1,2014-01
2014-02-03,2014,6,h,22,2,2014-02
2014-02-10,2014,7,h,20,2,2014-02
2014-02-17,2014,8,h,24,2,2014-02
2014-02-24,2014,9,h,70,2,2014-02
2014-03-03,2014,10,h,228,3,2014-03
2014-03-10,2014,11,h,177,3,2014-03
2014-03-17,2014,12,h,15,3,2014-03
2014-03-24,2014,13,h,35,3,2014-03
2014-03-31,2014,14,h,2,3,2014-03
2014-04-07,2014,15,h,26,4,2014-04
2014-04-14,2014,16,h,26,4,2014-04
2014-04-21,2014,17,h,10,4,2014-04
2014-04-28,2014,18,h,12,4,2014-04
2014-05-05,2014,19,h,8,5,2014-05
2014-05-12,2014,20,h,5,5,2014-05
2014-05-19,2014,21,h,4,5,2014-05
2014-06-02,2014,23,h,7,6,2014-06
2014-06-09,2014,24,h,3,6,2014-06
2014-06-16,2014,25,h,25,6,2014-06
2014-06-23,2014,26,h,29,6,2014-06
2014-06-30,2014,27,h,8,6,2014-06
2014-07-14,2014,29,h,37,7,2014-07
2014-07-21,2014,30,h,135,7,2014-07
2014-07-28,2014,31,h,5,7,2014-07
2014-08-04,2014,32,h,12,8,2014-08
2014-08-11,2014,33,h,3,8,2014-08
2014-08-18,2014,34,h,8,8,2014-08
2014-08-25,2014,35,h,3,8,2014-08
2014-09-01,2014,36,h,6,9,2014-09
2014-09-08,2014,37,h,9,9,2014-09
2014-09-15,2014,38,h,5,9,2014-09
2014-09-22,2014,39,h,20,9,2014-09
2014-09-29,2014,40,h,5,9,2014-09
2014-10-13,2014,42,h,1,10,2014-10
2014-10-20,2014,43,h,3,10,2014-10
2014-10-27,2014,44,h,3,10,2014-10
2014-11-17,2014,47,h,1,11,2014-11
2014-12-08,2014,50,h,11,12,2014-12
2015-01-05,2015,2,h,2,1,2015-01
2015-01-12,2015,3,h,2,1,2015-01
2015-01-19,2015,4,h,2,1,2015-01
2015-01-26,2015,5,h,5,1,2015-01
2015-02-02,2015,6,h,6,2,2015-02
2015-02-09,2015,7,h,7,2,2015-02
2015-02-16,2015,8,h,3,2,2015-02
2015-02-23,2015,9,h,16,2,2015-02
2015-03-02,2015,10,h,26,3,2015-03
2015-03-09,2015,11,h,42,3,2015-03
2015-03-16,2015,12,h,37,3,2015-03
2015-03-23,2015,13,h,36,3,2015-03
2015-03-30,2015,14,h,7,3,2015-03
2015-04-06,2015,15,h,44,4,2015-04
2015-04-13,2015,16,h,42,4,2015-04
2015-04-20,2015,17,h,7,4,2015-04
2015-04-27,2015,18,h,6,4,2015-04
2015-05-04,2015,19,h,9,5,2015-05
2015-05-11,2015,20,h,16,5,2015-05
2015-05-18,2015,21,h,2,5,2015-05
2015-05-25,2015,22,h,12,5,2015-05
2015-06-01,2015,23,h,22,6,2015-06
2015-06-15,2015,25,h,1,6,2015-06
2015-06-22,2015,26,h,28,6,2015-06
2015-06-29,2015,27,h,29,6,2015-06
2015-07-06,2015,28,h,8,7,2015-07
2015-07-13,2015,29,h,11,7,2015-07
2015-07-20,2015,30,h,30,7,2015-07
2015-07-27,2015,31,h,28,7,2015-07
2015-08-03,2015,32,h,2,8,2015-08
2015-08-10,2015,33,h,23,8,2015-08
2015-08-17,2015,34,h,18,8,2015-08
2015-08-24,2015,35,h,9,8,2015-08
2015-08-31,2015,36,h,18,8,2015-08
2015-09-07,2015,37,h,18,9,2015-09
2015-09-14,2015,38,h,16,9,2015-09
2015-09-21,2015,39,h,22,9,2015-09
2015-09-28,2015,40,h,19,9,2015-09
2015-10-05,2015,41,h,6,10,2015-10
2015-10-12,2015,42,h,3,10,2015-10
2015-10-19,2015,43,h,5,10,2015-10
2015-11-09,2015,46,h,1,11,2015-11
2015-11-16,2015,47,h,1,11,2015-11
2015-11-23,2015,48,h,1,11,2015-11
2015-11-30,2015,49,h,2,11,2015-11
2015-12-07,2015,50,h,1,12,2015-12
2015-12-14,2015,51,h,1,12,2015-12
2015-12-28,2015,53,h,4,12,2015-12
2016-01-04,2016,1,h,11,1,2016-01
2016-01-18,2016,3,h,5,1,2016-01
2016-01-25,2016,4,h,5,1,2016-01
2016-02-01,2016,5,h,2,2,2016-02
2016-02-08,2016,6,h,4,2,2016-02
2016-02-15,2016,7,h,29,2,2016-02
2016-02-22,2016,8,h,38,2,2016-02
2016-02-29,2016,9,h,23,2,2016-02
2016-03-07,2016,10,h,34,3,2016-03
2016-03-14,2016,11,h,28,3,2016-03
2016-03-21,2016,12,h,80,3,2016-03
2016-03-28,2016,13,h,86,3,2016-03
2016-04-04,2016,14,h,36,4,2016-04
2016-04-11,2016,15,h,23,4,2016-04
2016-04-18,2016,16,h,110,4,2016-04
2016-04-25,2016,17,h,37,4,2016-04
2016-05-02,2016,18,h,17,5,2016-05
2016-05-09,2016,19,h,9,5,2016-05
2016-05-16,2016,20,h,3,5,2016-05
2016-05-23,2016,21,h,3,5,2016-05
2016-06-13,2016,24,h,3,6,2016-06
2016-06-20,2016,25,h,5,6,2016-06
2016-06-27,2016,26,h,11,6,2016-06
2016-07-04,2016,27,h,17,7,2016-07
2016-07-11,2016,28,h,5,7,2016-07
2016-07-25,2016,30,h,2,7,2016-07
2016-08-08,2016,32,h,25,8,2016-08
2016-08-15,2016,33,h,28,8,2016-08
2016-08-22,2016,34,h,9,8,2016-08
2016-08-29,2016,35,h,6,8,2016-08
2016-09-05,2016,36,h,6,9,2016-09
2016-09-12,2016,37,h,3,9,2016-09
2016-09-19,2016,38,h,11,9,2016-09
2016-09-26,2016,39,h,1,9,2016-09
2016-10-10,2016,41,h,1,10,2016-10
2016-11-07,2016,45,h,1,11,2016-11
2016-11-14,2016,46,h,2,11,2016-11
2016-12-12,2016,50,h,1,12,2016-12
2017-01-09,2017,2,h,8,1,2017-01
2017-01-23,2017,4,h,1,1,2017-01
2017-02-06,2017,6,h,2,2,2017-02
2017-02-20,2017,8,h,1,2,2017-02
2017-03-06,2017,10,h,2,3,2017-03
2017-03-13,2017,11,h,6,3,2017-03
2017-03-20,2017,12,h,2,3,2017-03
2017-04-24,2017,17,h,5,4,2017-04
2017-05-01,2017,18,h,3,5,2017-05
2017-05-15,2017,20,h,3,5,2017-05
2017-05-29,2017,22,h,1,5,2017-05
2017-06-05,2017,23,h,1,6,2017-06
2017-06-12,2017,24,h,3,6,2017-06
