Year,Selected_Stations,Maximum,Minimum,Forest_area_percent
2001,"Bandaraya Melaka, Melaka",127,3,59.7077461573581
2001,"Cheras, Kuala Lumpur",157,16,59.7077461573581
2001,"Kota Kinabalu, Sabah ",80,1,59.7077461573581
2001,"Kuching, Sarawak ",84,1,59.7077461573581
2001,"Larkin, Johor Bahru",119,10,59.7077461573581
2001,"Miri, Sarawak",84,2,59.7077461573581
2001,"Seberang Jaya, Pulau Pinang",140,8,59.7077461573581
2002,"Bandaraya Melaka, Melaka",105,5,59.4813879166033
2002,"Cheras, Kuala Lumpur",153,11,59.4813879166033
2002,"Kota Kinabalu, Sabah ",88,8,59.4813879166033
2002,"Kuching, Sarawak ",130,1,59.4813879166033
2002,"Larkin, Johor Bahru",116,4,59.4813879166033
2002,"Miri, Sarawak",126,5,59.4813879166033
2002,"Seberang Jaya, Pulau Pinang",115,4,59.4813879166033
2003,"Bandaraya Melaka, Melaka",114,6,59.2550296758484
2003,"Cheras, Kuala Lumpur",143,11,59.2550296758484
2003,"Kota Kinabalu, Sabah ",76,2,59.2550296758484
2003,"Kuching, Sarawak ",85,6,59.2550296758484
2003,"Larkin, Johor Bahru",112,2,59.2550296758484
2003,"Miri, Sarawak",86,3,59.2550296758484
2003,"Seberang Jaya, Pulau Pinang",106,11,59.2550296758484
2004,"Bandaraya Melaka, Melaka",147,5,59.0286714350936
2004,"Cheras, Kuala Lumpur",97,32,59.0286714350936
2004,"Kota Kinabalu, Sabah ",62,1,59.0286714350936
2004,"Kuching, Sarawak ",97,17,59.0286714350936
2004,"Larkin, Johor Bahru",126,8,59.0286714350936
2004,"Miri, Sarawak",77,2,59.0286714350936
2004,"Seberang Jaya, Pulau Pinang",121,8,59.0286714350936
2005,"Bandaraya Melaka, Melaka",114,2,58.8023131943388
2005,"Cheras, Kuala Lumpur",390,5,58.8023131943388
2005,"Kota Kinabalu, Sabah ",63,2,58.8023131943388
2005,"Kuching, Sarawak ",78,23,58.8023131943388
2005,"Larkin, Johor Bahru",111,1,58.8023131943388
2005,"Miri, Sarawak",133,2,58.8023131943388
2005,"Seberang Jaya, Pulau Pinang",151,10,58.8023131943388
2006,"Bandaraya Melaka, Melaka",153,5,58.5759549535839
2006,"Cheras, Kuala Lumpur",162,5,58.5759549535839
2006,"Kota Kinabalu, Sabah ",86,2,58.5759549535839
2006,"Kuching, Sarawak ",188,5,58.5759549535839
2006,"Larkin, Johor Bahru",143,5,58.5759549535839
2006,"Miri, Sarawak",104,1,58.5759549535839
2006,"Seberang Jaya, Pulau Pinang",121,6,58.5759549535839
2007,"Bandaraya Melaka, Melaka",92,4,58.3495967128291
2007,"Cheras, Kuala Lumpur",131,4,58.3495967128291
2007,"Kota Kinabalu, Sabah ",64,3,58.3495967128291
2007,"Kuching, Sarawak ",75,6,58.3495967128291
2007,"Larkin, Johor Bahru",141,0,58.3495967128291
2007,"Miri, Sarawak",73,6,58.3495967128291
2007,"Seberang Jaya, Pulau Pinang",101,8,58.3495967128291
2008,"Bandaraya Melaka, Melaka",80,3,58.1232384720743
2008,"Cheras, Kuala Lumpur",135,8,58.1232384720743
2008,"Kota Kinabalu, Sabah ",55,1,58.1232384720743
2008,"Kuching, Sarawak ",72,5,58.1232384720743
2008,"Larkin, Johor Bahru",101,5,58.1232384720743
2008,"Miri, Sarawak",76,6,58.1232384720743
2008,"Seberang Jaya, Pulau Pinang",99,6,58.1232384720743
2009,"Bandaraya Melaka, Melaka",137,4,57.8968802313194
2009,"Cheras, Kuala Lumpur",168,4,57.8968802313194
2009,"Kota Kinabalu, Sabah ",78,1,57.8968802313194
2009,"Kuching, Sarawak ",114,10,57.8968802313194
2009,"Larkin, Johor Bahru",99,2,57.8968802313194
2009,"Miri, Sarawak",179,6,57.8968802313194
2009,"Seberang Jaya, Pulau Pinang",106,5,57.8968802313194
2010,"Bandaraya Melaka, Melaka",139,22,57.6705219905646
2010,"Cheras, Kuala Lumpur",169,26,57.6705219905646
2010,"Kota Kinabalu, Sabah ",68,10,57.6705219905646
2010,"Kuching, Sarawak ",54,16,57.6705219905646
2010,"Larkin, Johor Bahru",111,15,57.6705219905646
2010,"Miri, Sarawak",89,17,57.6705219905646
2010,"Seberang Jaya, Pulau Pinang",93,28,57.6705219905646
2011,"Bandaraya Melaka, Melaka",97,12,57.9849764115051
2011,"Cheras, Kuala Lumpur",150,11,57.9849764115051
2011,"Kota Kinabalu, Sabah ",61,2,57.9849764115051
2011,"Kuching, Sarawak ",100,4,57.9849764115051
2011,"Larkin, Johor Bahru",84,3,57.9849764115051
2011,"Miri, Sarawak",96,4,57.9849764115051
2011,"Seberang Jaya, Pulau Pinang",98,6,57.9849764115051
2012,"Bandaraya Melaka, Melaka",83,3,58.2994308324456
2012,"Cheras, Kuala Lumpur",155,4,58.2994308324456
2012,"Kota Kinabalu, Sabah ",61,1,58.2994308324456
2012,"Kuching, Sarawak ",93,16,58.2994308324456
2012,"Larkin, Johor Bahru",137,2,58.2994308324456
2012,"Miri, Sarawak",97,5,58.2994308324456
2012,"Seberang Jaya, Pulau Pinang",105,6,58.2994308324456
2013,"Bandaraya Melaka, Melaka",415,16,58.6138852533861
2013,"Cheras, Kuala Lumpur",186,22,58.6138852533861
2013,"Kota Kinabalu, Sabah ",90,8,58.6138852533861
2013,"Kuching, Sarawak ",89,17,58.6138852533861
2013,"Larkin, Johor Bahru",226,17,58.6138852533861
2013,"Miri, Sarawak",93,18,58.6138852533861
2013,"Seberang Jaya, Pulau Pinang",132,27,58.6138852533861
2014,"Bandaraya Melaka, Melaka",128,5,58.9283396743266
2014,"Cheras, Kuala Lumpur",170,3,58.9283396743266
2014,"Kota Kinabalu, Sabah ",59,3,58.9283396743266
2014,"Kuching, Sarawak ",123,11,58.9283396743266
2014,"Larkin, Johor Bahru",198,10,58.9283396743266
2014,"Miri, Sarawak",84,2,58.9283396743266
2014,"Seberang Jaya, Pulau Pinang",119,14,58.9283396743266
2015,"Bandaraya Melaka, Melaka",176,6,59.2427940952671
2015,"Cheras, Kuala Lumpur",185,9,59.2427940952671
2015,"Kota Kinabalu, Sabah ",75,5,59.2427940952671
2015,"Kuching, Sarawak ",209,5,59.2427940952671
2015,"Larkin, Johor Bahru",192,28,59.2427940952671
2015,"Miri, Sarawak",99,4,59.2427940952671
2015,"Seberang Jaya, Pulau Pinang",287,9,59.2427940952671
2016,"Bandaraya Melaka, Melaka",87,5,58.7875209252777
2016,"Cheras, Kuala Lumpur",151,7,58.7875209252777
2016,"Kota Kinabalu, Sabah ",73,3,58.7875209252777
2016,"Kuching, Sarawak ",71,6,58.7875209252777
2016,"Larkin, Johor Bahru",109,5,58.7875209252777
2016,"Miri, Sarawak",149,2,58.7875209252777
