Year,state,mean_api,area
2003,Melaka,60.0,5468.0
2003,Pulau Pinang,58.5,5139.0
2003,Sabah,39.0,3563186.0
2003,Sarawak,45.0,4836800.0
2004,Melaka,76.0,5185.0
2004,Pulau Pinang,64.5,5434.0
2004,Sabah,31.5,3543186.0
2004,Sarawak,48.25,4806300.0
2005,Melaka,58.0,5185.0
2005,Pulau Pinang,80.5,5434.0
2005,Sabah,32.5,3523186.0
2005,Sarawak,59.0,4779900.0
2006,Melaka,79.0,5159.0
2006,Pulau Pinang,63.5,5434.0
2006,Sabah,44.0,3503186.0
2006,Sarawak,74.5,4778300.0
2007,Melaka,48.0,5079.0
2007,Pulau Pinang,54.5,6098.0
2007,Sabah,33.5,3604867.0
2007,Sarawak,40.0,4692900.0
2008,Melaka,41.5,5080.0
2008,Pulau Pinang,52.5,6098.0
2008,Sabah,28.0,3604867.0
2008,Sarawak,39.75,4681543.0
2009,Melaka,70.5,5080.0
2009,Pulau Pinang,55.5,6098.0
2009,Sabah,39.5,3604894.0
2009,Sarawak,77.25,4583609.0
2010,Melaka,80.5,5079.0
2010,Pulau Pinang,60.5,6098.0
2010,Sabah,39.0,3606647.0
2010,Sarawak,44.0,
2011,Melaka,54.5,4818.0
2011,Pulau Pinang,52.0,6098.0
2011,Sabah,31.5,3606647.0
2011,Sarawak,51.0,
2012,Melaka,43.0,5151.0
2012,Pulau Pinang,55.5,6098.0
2012,Sabah,31.0,3609249.0
2012,Sarawak,52.75,4337164.0
2013,Melaka,215.5,5151.0
2013,Pulau Pinang,79.5,6060.0
2013,Sabah,49.0,3614730.0
2013,Sarawak,54.25,4368066.0
2014,Melaka,66.5,5093.0
2014,Pulau Pinang,66.5,6060.0
2014,Sabah,31.0,3615066.0
2014,Sarawak,55.0,4352828.0
2015,Melaka,91.0,5104.0
2015,Pulau Pinang,148.0,6060.0
2015,Sabah,40.0,3551247.0
2015,Sarawak,79.25,4320302.0
2016,Melaka,46.0,5137.0
2016,Pulau Pinang,47.0,6060.0
2016,Sabah,38.0,3540274.0
2016,Sarawak,57.0,4317939.0
2017,Melaka,61.0,5138.0
2017,Pulau Pinang,122.5,5101.0
2017,Sabah,68.0,3540749.0
2017,Sarawak,37.5,4274825.0
2018,Melaka,80.5,5199.0
2018,Pulau Pinang,76.0,5101.0
2018,Sabah,49.5,3540749.0
2018,Sarawak,52.0,4209053.0
2019,Melaka,121.5,5199.0
2019,Pulau Pinang,109.5,5101.0
2019,Sabah,131.0,3541266.0
2019,Sarawak,124.25,3964880.0
2020,Melaka,59.0,5199.0
2020,Pulau Pinang,60.0,5387.0
2020,Sabah,43.0,3574468.0
2020,Sarawak,52.25,3964880.0
