Year,area_cat,mean_api
2003,Low,67.75
2003,Medium,58.5
2003,High,42.0
2004,Low,70.25
2004,Medium,65.75
2004,High,39.875
2005,Low,127.75
2005,Medium,68.25
2005,High,45.75
2006,Low,81.25
2006,Medium,68.75
2006,High,59.25
2007,Low,57.75
2007,Medium,62.5
2007,High,36.75
2008,Low,56.5
2008,Medium,52.75
2008,High,33.875
2009,Low,78.25
2009,Medium,53.0
2009,High,58.375
2010,Low,89.0
2010,Medium,60.5
2010,High,51.0
2011,Low,67.5
2011,Medium,52.0
2011,High,37.5
2012,Low,61.25
2012,Medium,62.5
2012,High,41.875
2013,Low,159.75
2013,Medium,100.5
2013,High,51.625
2014,Low,76.5
2014,Medium,85.25
2014,High,43.0
2015,Low,94.0
2015,Medium,129.0
2015,High,59.625
2016,Low,62.5
2016,Medium,52.0
2016,High,47.5
2017,Low,106.5
2017,Medium,60.0
2017,High,52.75
2018,Low,77.0
2018,Medium,67.0
2018,High,50.75
2019,Low,109.75
2019,Medium,110.0
2019,High,127.625
2020,Low,68.5
2020,Medium,58.5
2020,High,47.625
