pollutant,year,concentration
CO,2017,0.6459
CO,2019,0.6500833333333333
CO,2021,0.5337500000000001
NO2,2017,0.007880000000000002
NO2,2019,0.0071916666666666665
NO2,2021,0.005691666666666667
O3,2017,0.0164
O3,2019,0.018833333333333334
O3,2021,0.016166666666666666
PM 10,2017,30.047000000000004
PM 10,2019,29.159166666666664
PM 10,2021,20.513333333333332
PM 2.5,2019,20.488333333333333
PM 2.5,2021,12.939166666666667
SO2,2017,0.0017000000000000001
SO2,2019,0.0010583333333333332
SO2,2021,0.0011166666666666666
