Year,Selected Stations,AvgPollution,MeanTemp,State
2000,"bandaraya melaka, melaka",63.0,27.95,melaka
2000,"cheras, kuala lumpur",77.0,28.45,selangor
2000,"kota kinabalu, sabah",35.5,27.9,sabah
2000,"kuching, sarawak",42.5,27.5,sarawak
2000,"larkin, johor bahru",63.0,27.599999999999998,johor
2000,"miri, sarawak",41.0,27.549999999999997,sarawak
2000,"seberang jaya, pulau pinang",65.5,27.95,pulau pinang
2001,"bandaraya melaka, melaka",65.0,27.9,melaka
2001,"cheras, kuala lumpur",86.5,28.5,selangor
2001,"kota kinabalu, sabah",40.5,27.799999999999997,sabah
2001,"kuching, sarawak",42.5,27.55,sarawak
2001,"larkin, johor bahru",64.5,27.5,johor
2001,"miri, sarawak",43.0,27.549999999999997,sarawak
2001,"seberang jaya, pulau pinang",74.0,28.15,pulau pinang
2002,"bandaraya melaka, melaka",55.0,28.45,melaka
2002,"cheras, kuala lumpur",82.0,28.9,selangor
2002,"kota kinabalu, sabah",48.0,28.15,sabah
2002,"kuching, sarawak",65.5,27.450000000000003,sarawak
2002,"larkin, johor bahru",60.0,27.25,johor
2002,"miri, sarawak",65.5,27.9,sarawak
2002,"seberang jaya, pulau pinang",59.5,28.75,pulau pinang
2003,"bandaraya melaka, melaka",60.0,28.150000000000002,melaka
2003,"cheras, kuala lumpur",77.0,28.75,selangor
2003,"kota kinabalu, sabah",39.0,28.05,sabah
2003,"kuching, sarawak",45.5,27.549999999999997,sarawak
2003,"larkin, johor bahru",57.0,27.25,johor
2003,"miri, sarawak",44.5,27.85,sarawak
2003,"seberang jaya, pulau pinang",58.5,28.45,pulau pinang
2004,"bandaraya melaka, melaka",76.0,28.35,melaka
2004,"cheras, kuala lumpur",64.5,28.55,selangor
2004,"kota kinabalu, sabah",31.5,28.05,sabah
2004,"kuching, sarawak",57.0,27.450000000000003,sarawak
2004,"larkin, johor bahru",67.0,27.45,johor
2004,"miri, sarawak",39.5,27.55,sarawak
2004,"seberang jaya, pulau pinang",64.5,28.5,pulau pinang
2005,"bandaraya melaka, melaka",58.0,28.45,melaka
2005,"cheras, kuala lumpur",197.5,28.6,selangor
2005,"kota kinabalu, sabah",32.5,28.099999999999998,sabah
2005,"kuching, sarawak",50.5,27.45,sarawak
2005,"larkin, johor bahru",56.0,27.45,johor
2005,"miri, sarawak",67.5,27.55,sarawak
2005,"seberang jaya, pulau pinang",80.5,28.3,pulau pinang
2006,"bandaraya melaka, melaka",79.0,28.1,melaka
2006,"cheras, kuala lumpur",83.5,28.15,selangor
2006,"kota kinabalu, sabah",44.0,28.05,sabah
2006,"kuching, sarawak",96.5,27.549999999999997,sarawak
2006,"larkin, johor bahru",74.0,27.3,johor
2006,"miri, sarawak",52.5,27.6,sarawak
2006,"seberang jaya, pulau pinang",63.5,28.15,pulau pinang
2007,"bandaraya melaka, melaka",48.0,28.0,melaka
2007,"cheras, kuala lumpur",67.5,28.2,selangor
2007,"kota kinabalu, sabah",33.5,28.0,sabah
2007,"kuching, sarawak",40.5,27.4,sarawak
2007,"larkin, johor bahru",70.5,27.05,johor
2007,"miri, sarawak",39.5,27.35,sarawak
2007,"seberang jaya, pulau pinang",54.5,28.0,pulau pinang
2008,"bandaraya melaka, melaka",41.5,28.0,melaka
2008,"cheras, kuala lumpur",71.5,28.0,selangor
2008,"kota kinabalu, sabah",28.0,27.85,sabah
2008,"kuching, sarawak",38.5,27.2,sarawak
2008,"larkin, johor bahru",53.0,26.9,johor
2008,"miri, sarawak",41.0,26.9,sarawak
2008,"seberang jaya, pulau pinang",52.5,27.950000000000003,pulau pinang
2009,"bandaraya melaka, melaka",70.5,28.05,melaka
2009,"cheras, kuala lumpur",86.0,28.599999999999998,selangor
2009,"kota kinabalu, sabah",39.5,28.200000000000003,sabah
2009,"kuching, sarawak",62.0,27.7,sarawak
2009,"larkin, johor bahru",50.5,27.4,johor
2009,"miri, sarawak",92.5,27.35,sarawak
2009,"seberang jaya, pulau pinang",55.5,28.200000000000003,pulau pinang
2010,"bandaraya melaka, melaka",80.5,28.25,melaka
2010,"cheras, kuala lumpur",97.5,29.45,selangor
2010,"kota kinabalu, sabah",39.0,28.35,sabah
2010,"kuching, sarawak",35.0,27.6,sarawak
2010,"larkin, johor bahru",63.0,27.75,johor
2010,"miri, sarawak",53.0,27.4,sarawak
2010,"seberang jaya, pulau pinang",60.5,28.65,pulau pinang
2011,"bandaraya melaka, melaka",54.5,27.85,melaka
2011,"cheras, kuala lumpur",80.5,29.2,selangor
2011,"kota kinabalu, sabah",31.5,28.15,sabah
2011,"kuching, sarawak",52.0,27.5,sarawak
2011,"larkin, johor bahru",43.5,27.6,johor
2011,"miri, sarawak",50.0,27.35,sarawak
2011,"seberang jaya, pulau pinang",52.0,28.1,pulau pinang
2012,"bandaraya melaka, melaka",43.0,27.9,melaka
2012,"cheras, kuala lumpur",79.5,29.15,selangor
2012,"kota kinabalu, sabah",31.0,28.25,sabah
2012,"kuching, sarawak",54.5,27.95,sarawak
2012,"larkin, johor bahru",69.5,27.6,johor
2012,"miri, sarawak",51.0,27.5,sarawak
