State,Year,Rainfall_mm,concentration,PollutionCategory
Johor,2018,2266.5249999999996,6.974543055555555,Medium
Johor,2019,2174.525,8.387444444444444,High
Johor,2020,2458.8,5.431034722222222,Low
Johor,2021,2635.2,5.6682041666666665,Low
Kedah,2018,2202.2,6.974543055555555,Medium
Kedah,2019,2296.95,8.387444444444444,High
Kedah,2020,2570.0,5.431034722222222,Low
Kedah,2021,2272.0,5.6682041666666665,Low
Kelantan,2018,2592.1,6.974543055555555,Medium
Kelantan,2019,1758.0666666666666,8.387444444444444,High
Kelantan,2020,3189.7333333333336,5.431034722222222,Low
Kelantan,2021,2796.7,5.6682041666666665,Low
Melaka,2018,2249.4,6.974543055555555,Medium
Melaka,2019,1616.8,8.387444444444444,High
Melaka,2020,1712.2,5.431034722222222,Low
Melaka,2021,2506.0,5.6682041666666665,Low
Pahang,2018,2406.56,6.974543055555555,Medium
Pahang,2019,1737.6200000000001,8.387444444444444,High
Pahang,2020,2262.12,5.431034722222222,Low
Pahang,2021,2641.875,5.6682041666666665,Low
Perak,2018,2415.3333333333335,6.974543055555555,Medium
Perak,2019,2083.8333333333335,8.387444444444444,High
Perak,2020,2479.1666666666665,5.431034722222222,Low
Perak,2021,2336.866666666667,5.6682041666666665,Low
Perlis,2018,1839.6,6.974543055555555,Medium
Perlis,2019,1553.8,8.387444444444444,High
Perlis,2020,2195.0,5.431034722222222,Low
Perlis,2021,2081.0,5.6682041666666665,Low
Pulau Pinang,2018,2374.7,6.974543055555555,Medium
Pulau Pinang,2019,1949.5500000000002,8.387444444444444,High
Pulau Pinang,2020,1996.0,5.431034722222222,Low
Pulau Pinang,2021,2107.5,5.6682041666666665,Low
Sabah,2018,2512.2250000000004,6.974543055555555,Medium
Sabah,2019,1749.7333333333333,8.387444444444444,High
Sabah,2020,2372.7166666666667,5.431034722222222,Low
Sabah,2021,2711.866666666667,5.6682041666666665,Low
Sarawak,2018,3918.5199999999995,6.974543055555555,Medium
Sarawak,2019,2314.8625,8.387444444444444,High
Sarawak,2020,3961.35,5.431034722222222,Low
Sarawak,2021,3991.925,5.6682041666666665,Low
Selangor,2018,3317.1666666666665,6.974543055555555,Medium
Selangor,2019,2895.8333333333335,8.387444444444444,High
Selangor,2020,3139.2000000000003,5.431034722222222,Low
Selangor,2021,2812.1000000000004,5.6682041666666665,Low
Terengganu,2018,2646.0,6.974543055555555,Medium
Terengganu,2019,1603.5,8.387444444444444,High
Terengganu,2020,3238.8,5.431034722222222,Low
Terengganu,2021,2518.3999999999996,5.6682041666666665,Low
Wilayah Persekutuan Labuan,2018,3033.2,6.974543055555555,Medium
Wilayah Persekutuan Labuan,2019,3433.6,8.387444444444444,High
Wilayah Persekutuan Labuan,2020,4301.3,5.431034722222222,Low
Wilayah Persekutuan Labuan,2021,4127.5,5.6682041666666665,Low
