Year,State,MeanTemperature
2000,Johor,27.575
2000,Kedah,28.275
2000,Kelantan,27.65
2000,Melaka,27.95
2000,Pahang,23.325
2000,Perak,28.125
2000,Perlis,28.299999999999997
2000,Pulau Pinang,27.875
2000,Sabah,27.625
2000,Sarawak,27.525
2000,Selangor,28.299999999999997
2000,Terengganu,27.75
2000,Wilayah Persekutuan Labuan,28.15
2001,Johor,27.575
2001,Kedah,28.45
2001,Kelantan,27.775
2001,Melaka,27.9
2001,Pahang,23.475
2001,Perak,28.275
2001,Perlis,28.299999999999997
2001,Pulau Pinang,28.1
2001,Sabah,27.674999999999997
2001,Sarawak,27.549999999999997
2001,Selangor,28.4
2001,Terengganu,27.85
2001,Wilayah Persekutuan Labuan,28.200000000000003
2002,Johor,27.65
2002,Kedah,28.75
2002,Kelantan,27.975
2002,Melaka,28.45
2002,Pahang,23.674999999999997
2002,Perak,28.65
2002,Perlis,28.450000000000003
2002,Pulau Pinang,28.6
2002,Sabah,27.974999999999998
2002,Sarawak,27.675
2002,Selangor,28.799999999999997
2002,Terengganu,27.6
2002,Wilayah Persekutuan Labuan,28.5
2003,Johor,27.549999999999997
2003,Kedah,28.55
2003,Kelantan,27.775
2003,Melaka,28.150000000000002
2003,Pahang,23.400000000000002
2003,Perak,27.949999999999996
2003,Perlis,28.25
2003,Pulau Pinang,28.325
2003,Sabah,27.825000000000003
2003,Sarawak,27.7
2003,Selangor,28.575
2003,Terengganu,27.35
2003,Wilayah Persekutuan Labuan,28.4
2004,Johor,27.674999999999997
2004,Kedah,28.775000000000002
2004,Kelantan,27.875
2004,Melaka,28.35
2004,Pahang,23.325
2004,Perak,28.3
2004,Perlis,28.450000000000003
2004,Pulau Pinang,28.450000000000003
2004,Sabah,27.849999999999998
2004,Sarawak,27.5
2004,Selangor,28.450000000000003
2004,Terengganu,27.45
2004,Wilayah Persekutuan Labuan,28.299999999999997
2005,Johor,27.799999999999997
2005,Kedah,28.625
2005,Kelantan,27.625
2005,Melaka,28.45
2005,Pahang,23.424999999999997
2005,Perak,28.525
2005,Perlis,28.5
2005,Pulau Pinang,28.299999999999997
2005,Sabah,27.8375
2005,Sarawak,27.5
2005,Selangor,28.725
2005,Terengganu,27.4
2005,Wilayah Persekutuan Labuan,28.35
2006,Johor,27.675
2006,Kedah,28.45
2006,Kelantan,27.525
2006,Melaka,28.1
2006,Pahang,23.349999999999998
2006,Perak,28.05
2006,Perlis,28.35
2006,Pulau Pinang,28.1
2006,Sabah,27.775
2006,Sarawak,27.575
2006,Selangor,28.1
2006,Terengganu,27.6
2006,Wilayah Persekutuan Labuan,28.450000000000003
2007,Johor,27.5
2007,Kedah,28.224999999999998
2007,Kelantan,27.475
2007,Melaka,28.0
2007,Pahang,23.325
2007,Perak,27.925
2007,Perlis,28.2
2007,Pulau Pinang,27.9
2007,Sabah,27.762500000000003
2007,Sarawak,27.375
2007,Selangor,27.924999999999997
2007,Terengganu,27.6
2007,Wilayah Persekutuan Labuan,28.3
2008,Johor,27.299999999999997
2008,Kedah,28.175
2008,Kelantan,27.299999999999997
2008,Melaka,28.0
2008,Pahang,23.225
2008,Perak,27.725
2008,Perlis,27.85
2008,Pulau Pinang,27.8
2008,Sabah,27.55
2008,Sarawak,27.049999999999997
2008,Selangor,27.75
2008,Terengganu,27.6
2008,Wilayah Persekutuan Labuan,27.700000000000003
2009,Johor,27.45
2009,Kedah,28.474999999999998
2009,Kelantan,27.424999999999997
2009,Melaka,28.05
2009,Pahang,23.25
2009,Perak,28.175
2009,Perlis,28.15
2009,Pulau Pinang,27.925
2009,Sabah,27.85
2009,Sarawak,27.525
2009,Selangor,28.25
2009,Terengganu,27.45
2009,Wilayah Persekutuan Labuan,28.1
2010,Johor,27.725
2010,Kedah,28.925
2010,Kelantan,27.799999999999997
2010,Melaka,28.25
2010,Pahang,23.6
2010,Perak,28.450000000000003
2010,Perlis,28.75
2010,Pulau Pinang,28.6
2010,Sabah,28.075
2010,Sarawak,27.5
2010,Selangor,28.799999999999997
2010,Terengganu,28.0
2010,Wilayah Persekutuan Labuan,28.15
2011,Johor,27.375
2011,Kedah,28.425
2011,Kelantan,27.25
2011,Melaka,27.85
2011,Pahang,23.075000000000003
2011,Perak,27.974999999999998
2011,Perlis,28.15
2011,Pulau Pinang,28.150000000000002
2011,Sabah,27.625
2011,Sarawak,27.425
2011,Selangor,28.549999999999997
2011,Terengganu,27.65
2011,Wilayah Persekutuan Labuan,27.799999999999997
2012,Johor,27.700000000000003
2012,Kedah,28.35
2012,Kelantan,27.725
2012,Melaka,27.9
2012,Pahang,23.275
2012,Perak,28.2
2012,Perlis,28.3
2012,Pulau Pinang,28.15
2012,Sabah,27.8125
2012,Sarawak,27.725
2012,Selangor,28.599999999999998
2012,Terengganu,27.9
2012,Wilayah Persekutuan Labuan,28.299999999999997
2013,Johor,28.05
2013,Kedah,28.549999999999997
2013,Kelantan,27.725
2013,Melaka,28.15
2013,Pahang,23.525
2013,Perak,28.3
2013,Perlis,28.400000000000002
2013,Pulau Pinang,28.275
2013,Sabah,27.85
2013,Sarawak,27.85
2013,Selangor,28.575000000000003
2013,Terengganu,27.8
2013,Wilayah Persekutuan Labuan,28.049999999999997
2014,Johor,27.9
2014,Kedah,28.575
2014,Kelantan,27.424999999999997
2014,Melaka,28.200000000000003
2014,Pahang,23.55
2014,Perak,28.35
2014,Perlis,28.7
2014,Pulau Pinang,28.375
2014,Sabah,27.825000000000003
2014,Sarawak,27.700000000000003
2014,Selangor,28.700000000000003
2014,Terengganu,27.95
2014,Wilayah Persekutuan Labuan,28.1
2015,Johor,28.225
2015,Kedah,28.75
2015,Kelantan,28.025
2015,Melaka,28.45
2015,Pahang,26.589999999999996
2015,Perak,28.48333333333333
2015,Perlis,28.799999999999997
2015,Pulau Pinang,28.125
2015,Sabah,28.25
2015,Sarawak,27.939999999999998
2015,Selangor,28.966666666666665
2015,Terengganu,28.15
2015,Wilayah Persekutuan Labuan,28.4
2016,Johor,28.6875
2016,Kedah,29.099999999999998
2016,Kelantan,28.450000000000003
2016,Melaka,28.85
2016,Pahang,26.93
2016,Perak,28.98333333333333
2016,Perlis,29.25
2016,Pulau Pinang,28.450000000000003
2016,Sabah,28.4125
2016,Sarawak,28.22
2016,Selangor,29.233333333333334
2016,Terengganu,28.4
2016,Wilayah Persekutuan Labuan,28.7
2017,Johor,28.0
2017,Kedah,28.200000000000003
2017,Kelantan,27.85
2017,Melaka,26.65
2017,Pahang,26.48
2017,Perak,28.21666666666667
2017,Perlis,28.85
2017,Pulau Pinang,28.525
2017,Sabah,27.7625
2017,Sarawak,27.910000000000004
2017,Selangor,28.5
2017,Terengganu,27.95
2017,Wilayah Persekutuan Labuan,27.95
2018,Johor,27.849999999999998
2018,Kedah,28.65
2018,Kelantan,28.0
2018,Melaka,28.0
2018,Pahang,26.380000000000003
2018,Perak,28.316666666666666
2018,Perlis,28.95
2018,Pulau Pinang,28.450000000000003
2018,Sabah,28.1375
2018,Sarawak,27.869999999999997
2018,Selangor,28.75
2018,Terengganu,28.05
2018,Wilayah Persekutuan Labuan,27.9
2019,Johor,28.2625
2019,Kedah,29.025
2019,Kelantan,28.133333333333336
2019,Melaka,28.5
2019,Pahang,26.57
2019,Perak,28.78333333333333
2019,Perlis,28.799999999999997
2019,Pulau Pinang,28.825
2019,Sabah,27.55
2019,Sarawak,28.2875
2019,Selangor,29.2
2019,Terengganu,28.0
2019,Wilayah Persekutuan Labuan,28.45
2020,Johor,28.15
2020,Kedah,28.875
2020,Kelantan,28.05
2020,Melaka,28.15
2020,Pahang,26.51
2020,Perak,28.616666666666664
2020,Perlis,28.75
2020,Pulau Pinang,28.625
2020,Sabah,27.46666666666667
2020,Sarawak,28.14375
2020,Selangor,29.116666666666664
2020,Terengganu,27.950000000000003
2020,Wilayah Persekutuan Labuan,28.2
2021,Johor,27.8875
2021,Kedah,28.475
2021,Kelantan,27.7
2021,Melaka,27.9
2021,Pahang,26.25
2021,Perak,28.266666666666666
2021,Perlis,28.45
2021,Pulau Pinang,28.35
2021,Sabah,27.183333333333334
2021,Sarawak,27.93125
2021,Selangor,28.76666666666667
2021,Terengganu,27.65
2021,Wilayah Persekutuan Labuan,27.65
