driver_type,year,loss_area_ha,carbon_emission_Mg
Logging,2001,49884.59904703808,30833254.1024673
Logging,2002,36866.30978758052,24421554.88361343
Logging,2003,34998.46340517704,25453752.214104243
Logging,2004,66820.31593493605,51301441.33448253
Logging,2005,54901.24874158972,43002339.15456944
Logging,2006,57025.86460192208,43356875.5482968
Logging,2007,80691.03793500377,62654394.27255626
Logging,2008,73625.25853999282,58277021.18762467
Logging,2009,97086.85963881858,76421745.66522248
Logging,2010,59684.21471334081,46571857.36705
Logging,2011,56309.51317653279,45320013.78202355
Logging,2012,110768.78734973012,85772154.11461338
Logging,2013,50006.05291298492,37338186.94144953
Logging,2014,132113.21469446135,98806104.182393
Logging,2015,108700.02441949748,83356842.13927232
Logging,2016,136933.19604450223,100018982.3766143
Logging,2017,125472.32595643298,92158796.25377022
Logging,2018,121135.19375000558,88100460.6323377
Logging,2019,104022.58981406278,78120523.06824422
Logging,2020,58533.45899620371,44360174.051316336
Logging,2021,55349.61044058519,40539690.07809325
Logging,2022,59956.55052241298,42610029.61978005
Logging,2023,67826.591098059,46993875.284598224
Logging,2024,60804.7510414419,41606378.03076077
Other,2001,2969.535256051943,1648863.64153316
Other,2002,2896.942538300927,1646339.3441587824
Other,2003,1900.047385594066,1177244.2248646612
Other,2004,3282.084352681156,2116411.2072836943
Other,2005,3454.152312758544,2066651.7527538617
Other,2006,4266.5269545824285,2809564.42396121
Other,2007,4717.555209033979,3350459.510840448
Other,2008,3933.5173998184655,2737854.0339183304
Other,2009,6853.0588167906735,4432628.297380276
Other,2010,5726.251085048553,3744923.1299847714
Other,2011,28263.582911175206,20985797.37043213
Other,2012,23416.602083288482,17678486.8428207
Other,2013,6987.392678161762,5146553.157713002
Other,2014,28842.04117795066,21303917.9368778
Other,2015,10972.271621060137,7584397.481209093
Other,2016,12525.577983594463,8584634.808677636
Other,2017,8729.683644347338,5941179.797901148
Other,2018,7602.964876449899,5165676.048826222
Other,2019,5325.240906392872,3289536.1482414654
Other,2020,4676.430851922107,3282466.411520875
Other,2021,6088.006194034977,4207622.23708571
Other,2022,5654.517653664056,3891181.766053669
Other,2023,8314.644121063975,5369945.065720414
Other,2024,8121.764451697219,5351175.348434439
Permanent agriculture,2001,267004.92472925264,93401065.23065794
Permanent agriculture,2002,259852.21875799855,111868004.29199377
Permanent agriculture,2003,138031.71769579867,76648497.95787697
Permanent agriculture,2004,264879.5525890651,137536677.98127005
Permanent agriculture,2005,301840.511121336,173194043.94906402
Permanent agriculture,2006,259573.31002086567,155629443.26354554
Permanent agriculture,2007,304834.0428889456,196753519.9448694
Permanent agriculture,2008,278113.7163461614,180377425.2733092
Permanent agriculture,2009,498021.6781357081,360241509.231126
Permanent agriculture,2010,350465.7682322569,210105274.49037865
Permanent agriculture,2011,366157.5298435109,235521290.6084065
Permanent agriculture,2012,475185.3102115112,304851050.1082951
Permanent agriculture,2013,265939.4982739325,147775462.63635966
Permanent agriculture,2014,451046.4187651177,236497805.92538384
Permanent agriculture,2015,312206.1130701117,153867385.80302534
Permanent agriculture,2016,377952.5705502002,181334235.66104823
Permanent agriculture,2017,324419.012092474,142113636.45263636
Permanent agriculture,2018,291041.3200400624,118802614.00696924
Permanent agriculture,2019,268534.24227925733,104202323.42562547
Permanent agriculture,2020,193194.34934051608,74419308.64405778
Permanent agriculture,2021,201875.48700193287,80469912.24219759
Permanent agriculture,2022,170915.6210802748,66542771.67999115
Permanent agriculture,2023,218108.43721234583,84452294.66117957
Permanent agriculture,2024,196314.2150307006,76681955.28608079
Settlements & Infrastructure,2001,5756.636416379801,2563976.682005729
Settlements & Infrastructure,2002,6348.241872818031,2947061.6348498594
Settlements & Infrastructure,2003,3893.493124513056,1929091.1047521192
Settlements & Infrastructure,2004,8908.726794964947,4259713.268737991
Settlements & Infrastructure,2005,6840.786179777946,3101343.256832294
Settlements & Infrastructure,2006,6725.00251295346,3075643.107444512
Settlements & Infrastructure,2007,7350.418395676499,3675774.799704287
Settlements & Infrastructure,2008,5286.183600178377,2752400.387037192
Settlements & Infrastructure,2009,9702.540699261475,4825550.830493655
Settlements & Infrastructure,2010,7934.420050458079,3745374.913318173
Settlements & Infrastructure,2011,5971.431106993903,2718636.475852512
Settlements & Infrastructure,2012,8440.434712553219,4102274.990821392
Settlements & Infrastructure,2013,3507.01529790675,1466581.3048875774
Settlements & Infrastructure,2014,10997.030027293482,5354460.130592674
Settlements & Infrastructure,2015,6689.1582514130005,3258844.907849608
Settlements & Infrastructure,2016,9865.711223007807,5106528.278323389
Settlements & Infrastructure,2017,8503.601324407227,4319466.465675724
Settlements & Infrastructure,2018,6413.646123848728,3299070.171740037
Settlements & Infrastructure,2019,6584.966830086093,3382484.425717105
Settlements & Infrastructure,2020,4220.150143493021,2233482.0695707947
Settlements & Infrastructure,2021,4953.805196032513,2772327.0289805527
Settlements & Infrastructure,2022,3436.722592915001,1960508.6448066065
Settlements & Infrastructure,2023,4868.220140510949,2598670.6690018903
Settlements & Infrastructure,2024,4930.953606344833,2748792.440402416
Shifting cultivation,2001,6225.831529557671,4495222.744114533
Shifting cultivation,2002,6073.514021916435,4409407.111407309
Shifting cultivation,2003,4443.6920068790205,3172167.6401591618
Shifting cultivation,2004,6446.016987672884,4741276.145933189
Shifting cultivation,2005,6447.052457712576,4744095.395764437
Shifting cultivation,2006,5823.315510629662,4323879.68034205
Shifting cultivation,2007,6557.364490623192,4741871.56904581
Shifting cultivation,2008,6660.721981761131,4865817.676299847
Shifting cultivation,2009,8558.800233523942,6104977.647581208
Shifting cultivation,2010,5672.657539056916,4181290.714026595
Shifting cultivation,2011,5171.852190986201,3892848.7073774654
Shifting cultivation,2012,7441.408152241523,5540979.859218114
Shifting cultivation,2013,5069.740036749418,3664198.234380676
Shifting cultivation,2014,12899.025218989502,9211147.66245058
Shifting cultivation,2015,10478.490748286084,7417981.671761639
Shifting cultivation,2016,13071.91589329448,8989898.74892226
Shifting cultivation,2017,10201.864414545107,7077664.979843764
Shifting cultivation,2018,8437.561372538925,5879311.572331988
Shifting cultivation,2019,7367.993516708634,5164654.49307733
Shifting cultivation,2020,6173.153122076963,4302156.688199957
Shifting cultivation,2021,8198.367827581376,5893241.518515452
Shifting cultivation,2022,7133.97423025876,5131938.379011434
Shifting cultivation,2023,7717.86811147174,5565488.308560048
Shifting cultivation,2024,8111.335762050291,5952262.720609756
Wildfire,2001,964.431166995018,1358920.899461815
Wildfire,2002,803.9126490963481,846545.9356635571
Wildfire,2003,790.2773171527863,950439.3141938256
Wildfire,2004,1667.2575854835266,1954127.7959024725
Wildfire,2005,2274.6411293072097,2947183.597557755
Wildfire,2006,1112.348021160459,972873.1828205036
Wildfire,2007,1541.374109336471,1493072.3682894052
Wildfire,2008,640.4385200012994,512734.20415480377
Wildfire,2009,2869.7999036925103,2911785.261899052
Wildfire,2010,1467.3841008153968,1439387.5318329756
Wildfire,2011,1276.2821167650766,1293639.8582728016
Wildfire,2012,3130.737679791338,2488552.412454261
Wildfire,2013,1851.8682858040363,1411669.01122129
Wildfire,2014,10129.224605453155,10303403.130019393
Wildfire,2015,5444.76490275037,4485588.636234603
Wildfire,2016,15204.138753649138,13999256.859845305
Wildfire,2017,6172.720433946821,4373173.916270604
Wildfire,2018,3378.76889961355,2283639.665624636
Wildfire,2019,3569.5509682033903,3158737.2221830515
Wildfire,2020,1977.5058814488668,1546676.368565867
Wildfire,2021,1132.037843342223,840170.2839682001
Wildfire,2022,1029.7163053890336,714959.0106188979
Wildfire,2023,1819.7843739070968,1339414.2894271829
