"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MYS",2001,332805.95814527527202336,134301302.81846544942173766
"MYS",2002,312841.13962771163636281,146138913.6824600163812865
"MYS",2003,184057.69093511450421501,109331191.5916555480143733
"MYS",2004,352003.95424480350663590,201909647.7500511035578430
"MYS",2005,375758.39194248222895077,229055659.2005684946949069
"MYS",2006,334526.36762211429782456,210168278.0963656498770399
"MYS",2007,405691.79302861868551691,272669094.050915480037199
"MYS",2008,368259.83638791364659827,249523250.8285302050418774
"MYS",2009,623092.73742779232064078,454938196.9359021283882390
"MYS",2010,430950.69572097706595846,269788108.934686742951256
"MYS",2011,463150.19134596540353215,309732224.024210356425095
"MYS",2012,628383.28018911855114345,420433502.158444764432785
"MYS",2013,333361.56748553936567614,196802652.017672225106115
"MYS",2014,646026.95448926686728034,381476839.022577398655950
"MYS",2015,454490.82301311863156667,259971040.644301163067606
"MYS",2016,565553.11044824732721651,318033536.207975683204721
"MYS",2017,483499.20786615440561085,255983918.171182929697185
"MYS",2018,438009.45506251958870451,223530772.898366821810399
"MYS",2019,395404.58431471156171049,197318258.785442207822671
"MYS",2020,268775.04833566060541266,130144264.135404786142487
"MYS",2021,277597.31450350826509479,134722963.068219096872657
"MYS",2022,248127.10238491403030049,120851389.313940226972980
"MYS",2023,308655.54505735897048753,146319688.300698644547416
"MYS",2024,282533.58103206473724238,135258681.494710066714946
