"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"MYS",2001,332805.95814527527202336,4875.85234957619718074
"MYS",2002,312841.13962771163636281,5416.06258153958536639
"MYS",2003,184057.69093511450421501,3355.20275424729211492
"MYS",2004,352003.95424480350663590,5871.11876209058120147
"MYS",2005,375758.39194248222895077,7354.62992173975242030
"MYS",2006,334526.36762211429782456,4366.13698131706481100
"MYS",2007,405691.79302861868551691,6595.02508060784505504
"MYS",2008,368259.83638791364659827,4380.95915182400332515
"MYS",2009,623092.73742779232064078,11785.37181234077124962
"MYS",2010,430950.69572097706595846,7834.10459877060615039
"MYS",2011,463150.19134596540353215,5731.80759703883075673
"MYS",2012,628383.28018911855114345,10359.56268182297909895
"MYS",2013,333361.56748553936567614,4456.69394923199093872
"MYS",2014,646026.95448926686728034,19518.82395349328886410
"MYS",2015,454490.82301311863156667,9729.90529679868618355
"MYS",2016,565553.11044824732721651,20412.44438603734886828
"MYS",2017,483499.20786615440561085,8649.04804813626621016
"MYS",2018,438009.45506251958870451,6230.24998791066955415
"MYS",2019,395404.58431471156171049,6783.49460234749567557
"MYS",2020,268775.04833566060541266,4546.08286764307019558
"MYS",2021,277597.31450350826509479,3335.58010328183645511
"MYS",2022,248127.10238491403030049,2726.49941584390962413
"MYS",2023,308655.54505735897048753,3712.70424749205432810
"MYS",2024,282533.58103206473724238,5336.20989268882795625
