"iso","alert__year","alert__week","alert__count","confidence__cat"
"MYS",2012,4,1,"h"
"MYS",2012,5,1,"h"
"MYS",2012,6,2,"h"
"MYS",2012,7,2,"h"
"MYS",2012,9,1,"h"
"MYS",2012,11,1,"h"
"MYS",2012,12,5,"h"
"MYS",2012,13,16,"h"
"MYS",2012,14,2,"h"
"MYS",2012,15,3,"h"
"MYS",2012,16,2,"h"
"MYS",2012,18,3,"h"
"MYS",2012,19,6,"h"
"MYS",2012,20,7,"h"
"MYS",2012,21,14,"h"
"MYS",2012,22,4,"h"
"MYS",2012,23,6,"h"
"MYS",2012,24,71,"h"
"MYS",2012,25,103,"h"
"MYS",2012,26,38,"h"
"MYS",2012,27,5,"h"
"MYS",2012,28,4,"h"
"MYS",2012,29,2,"h"
"MYS",2012,30,11,"h"
"MYS",2012,31,94,"h"
"MYS",2012,32,20,"h"
"MYS",2012,33,11,"h"
"MYS",2012,34,3,"h"
"MYS",2012,35,16,"h"
"MYS",2012,36,12,"h"
"MYS",2012,37,24,"h"
"MYS",2012,38,2,"h"
"MYS",2012,39,16,"h"
"MYS",2012,40,11,"h"
"MYS",2012,42,1,"h"
"MYS",2012,43,8,"h"
"MYS",2012,46,1,"h"
"MYS",2012,48,4,"h"
"MYS",2012,51,1,"h"
"MYS",2013,3,3,"h"
"MYS",2013,4,4,"h"
"MYS",2013,5,14,"h"
"MYS",2013,6,3,"h"
"MYS",2013,10,1,"h"
"MYS",2013,11,13,"h"
"MYS",2013,12,6,"h"
"MYS",2013,13,3,"h"
"MYS",2013,14,1,"h"
"MYS",2013,17,8,"h"
"MYS",2013,18,4,"h"
"MYS",2013,19,2,"h"
"MYS",2013,20,3,"h"
"MYS",2013,21,1,"h"
"MYS",2013,22,13,"h"
"MYS",2013,23,2,"h"
"MYS",2013,24,28,"h"
"MYS",2013,25,83,"h"
"MYS",2013,26,10,"h"
"MYS",2013,27,1,"h"
"MYS",2013,28,2,"h"
"MYS",2013,30,66,"h"
"MYS",2013,31,10,"h"
"MYS",2013,32,3,"h"
"MYS",2013,33,76,"h"
"MYS",2013,34,33,"h"
"MYS",2013,35,32,"h"
"MYS",2013,38,9,"h"
"MYS",2013,39,12,"h"
"MYS",2013,40,16,"h"
"MYS",2013,41,4,"h"
"MYS",2013,42,4,"h"
"MYS",2013,44,6,"h"
"MYS",2013,45,1,"h"
"MYS",2014,4,4,"h"
"MYS",2014,5,21,"h"
"MYS",2014,6,22,"h"
"MYS",2014,7,20,"h"
"MYS",2014,8,24,"h"
"MYS",2014,9,70,"h"
"MYS",2014,10,228,"h"
"MYS",2014,11,177,"h"
"MYS",2014,12,15,"h"
